"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 13:20:00";"2";"0";"74";"1,62";"8388608";"1050254";"12,52";"0";"7";"64";"5";"5"
"05.11.2015 13:25:00";"2";"0";"84";"1,84";"8388608";"1279263";"15,25";"0";"7";"64";"5";"5"
"05.11.2015 13:30:00";"2";"0";"71";"1,56";"8388608";"1312817";"15,65";"0";"6";"64";"5";"5"
"05.11.2015 13:35:00";"2";"0";"75";"1,65";"8388608";"910164";"10,85";"0";"8";"64";"5";"5"
"05.11.2015 13:40:00";"2";"0";"73";"1,6";"8388608";"910164";"10,85";"0";"7";"64";"5";"5"
"05.11.2015 13:45:00";"2";"0";"70";"1,54";"8388608";"893387";"10,65";"0";"6";"64";"5";"5"
"05.11.2015 13:50:00";"2";"0";"75";"1,63";"8388608";"955462";"11,39";"0";"7";"64";"5";"5"
"05.11.2015 13:55:00";"2";"0";"72";"1,58";"8388608";"821245";"9,79";"0";"7";"64";"5";"5"
"05.11.2015 14:00:00";"2";"0";"73";"1,6";"8388608";"859832";"10,25";"0";"7";"64";"6";"6"
"05.11.2015 14:05:00";"2";"0";"76";"1,66";"8388608";"888354";"10,59";"0";"8";"64";"5";"5"
"05.11.2015 14:10:00";"2";"0";"73";"1,6";"8388608";"804468";"9,59";"0";"7";"64";"5";"5"
"05.11.2015 14:15:00";"2";"0";"71";"1,56";"8388608";"821245";"9,79";"0";"7";"64";"5";"5"
"05.11.2015 14:20:00";"2";"0";"71";"1,56";"8388608";"1100585";"13,12";"0";"7";"64";"5";"5"
"05.11.2015 14:25:00";"2";"0";"86";"1,87";"8388608";"1128268";"13,45";"0";"7";"64";"5";"5"
"05.11.2015 14:30:00";"2";"0";"69";"1,51";"8388608";"1140012";"13,59";"0";"6";"64";"5";"5"
"05.11.2015 14:35:00";"2";"0";"73";"1,6";"8388608";"1033476";"12,32";"0";"7";"64";"5";"5"
"05.11.2015 14:40:00";"2";"0";"70";"1,53";"8388608";"1077936";"12,85";"0";"7";"64";"5";"5"
"05.11.2015 14:45:00";"2";"0";"72";"1,58";"8388608";"882482";"10,52";"0";"7";"64";"6";"6"
"05.11.2015 14:50:00";"2";"0";"73";"1,6";"8388608";"871576";"10,39";"0";"7";"64";"5";"5"
"05.11.2015 14:55:00";"2";"0";"71";"1,56";"8388608";"848927";"10,12";"0";"7";"64";"5";"5"
"05.11.2015 15:00:00";"2";"0";"70";"1,53";"8388608";"977273";"11,65";"0";"6";"64";"5";"5"
